시도명_short,카메라수,위험지역수,총사고건수합,총사망자수합,총중상자수합,평균사고건수,카메라_대비_사고,카메라_대비_사망,위험지역당카메라,사망률,중상률,cluster,군집라벨
강원,1125,53,525,4,155,9.90566037735849,0.4666666666666667,0.0035555555555555557,21.22641509433962,0.007619047619047619,0.29523809523809524,0,적정 구역 (카메라↓ 사고↓)
경기,6840,383,6647,36,1527,17.35509138381201,0.9717836257309942,0.005263157894736842,17.859007832898172,0.005415977132540996,0.22972769670528057,1,부족 구역 (카메라↓ 사고↑)
경남,2326,96,833,11,324,8.677083333333334,0.3581255374032674,0.004729148753224419,24.229166666666668,0.013205282112845138,0.38895558223289317,0,적정 구역 (카메라↓ 사고↓)
경북,2164,74,642,9,224,8.675675675675675,0.2966728280961183,0.004158964879852125,29.243243243243242,0.014018691588785047,0.34890965732087226,0,적정 구역 (카메라↓ 사고↓)
광주,510,38,796,5,99,20.94736842105263,1.5607843137254902,0.00980392156862745,13.421052631578947,0.00628140703517588,0.12437185929648241,1,부족 구역 (카메라↓ 사고↑)
대구,905,69,1075,4,255,15.579710144927537,1.1878453038674033,0.004419889502762431,13.115942028985508,0.0037209302325581397,0.2372093023255814,1,부족 구역 (카메라↓ 사고↑)
대전,846,67,1348,3,234,20.119402985074625,1.5933806146572105,0.0035460992907801418,12.626865671641792,0.002225519287833828,0.17359050445103857,1,부족 구역 (카메라↓ 사고↑)
부산,1288,140,2184,18,688,15.6,1.6956521739130435,0.013975155279503106,9.2,0.008241758241758242,0.315018315018315,2,위험 구역 (카메라↑ 사고↑)
서울,2406,264,5727,38,1324,21.693181818181817,2.380299251870324,0.015793848711554447,9.113636363636363,0.0066352365985681856,0.23118561201327048,2,위험 구역 (카메라↑ 사고↑)
세종,360,6,76,0,11,12.666666666666666,0.2111111111111111,0.0,60.0,0.0,0.14473684210526316,3,과잉 구역 (카메라↑ 사고↓)
울산,954,17,240,0,70,14.117647058823529,0.25157232704402516,0.0,56.11764705882353,0.0,0.2916666666666667,3,과잉 구역 (카메라↑ 사고↓)
인천,1238,43,608,3,99,14.13953488372093,0.4911147011308562,0.0024232633279483036,28.790697674418606,0.004934210526315789,0.16282894736842105,1,부족 구역 (카메라↓ 사고↑)
전남,1864,92,1045,7,180,11.358695652173912,0.5606223175965666,0.0037553648068669528,20.26086956521739,0.0066985645933014355,0.1722488038277512,1,부족 구역 (카메라↓ 사고↑)
전북,2349,36,291,1,78,8.083333333333334,0.12388250319284802,0.0004257130693912303,65.25,0.003436426116838488,0.26804123711340205,3,과잉 구역 (카메라↑ 사고↓)
제주,105,9,153,2,30,17.0,1.457142857142857,0.01904761904761905,11.666666666666666,0.013071895424836602,0.19607843137254902,2,위험 구역 (카메라↑ 사고↑)
충남,2258,66,641,6,172,9.712121212121213,0.2838795394154119,0.002657218777679362,34.21212121212121,0.0093603744149766,0.26833073322932915,0,적정 구역 (카메라↓ 사고↓)
충북,1106,56,654,3,156,11.678571428571429,0.5913200723327305,0.0027124773960217,19.75,0.0045871559633027525,0.23853211009174313,1,부족 구역 (카메라↓ 사고↑)
