연도코드,시도명_short,사고위험지역명,총사고건수,총사망자수,총중상자수,반경내카메라수,위험점수
2017,인천,인천광역시 강화군내에서 2017년도에 반경100m 이내 다른사고4건 이상 지역,4,0,0,3,4.0
2017,경기,경기도 과천시내에서 2017년도에 반경100m 이내 다른사고4건 이상 지역,4,0,0,10,4.0
2017,강원,강원도 속초시내에서 2017년도에 반경100m 이내 다른사고4건 이상 지역,4,0,0,4,4.0
2017,전북,전라북도 남원시내에서 2017년도에 반경100m 이내 다른사고4건 이상 지역,4,0,0,3,4.0
2017,전남,전라남도 광양시내에서 2017년도에 반경100m 이내 다른사고4건 이상 지역,4,0,0,7,4.0
2017,전남,전라남도 광양시내에서 2017년도에 반경100m 이내 다른사고4건 이상 지역,4,0,0,5,4.0
2017,전남,전라남도 고흥군내에서 2017년도에 반경100m 이내 다른사고4건 이상 지역,4,0,0,4,4.0
2017,경북,경상북도 상주시내에서 2017년도에 반경100m 이내 다른사고4건 이상 지역,4,0,0,3,4.0
2018,강원,강원도 영월군내에서 2018년도에 반경100m 이내 다른사고4건 이상 지역,4,0,0,3,4.0
2018,경북,경상북도 문경시내에서 2018년도에 반경100m 이내 다른사고4건 이상 지역,4,0,0,3,4.0
2018,경북,경상북도 의성군내에서 2018년도에 반경100m 이내 다른사고4건 이상 지역,4,0,0,3,4.0
2019,부산,부산광역시 영도구내에서 2019년도에 반경50m 이내 다른사고4건 이상 지역,4,0,0,5,4.0
2019,경기,경기도 동두천시내에서 2019년도에 반경100m 이내 다른사고4건 이상 지역,4,0,0,4,4.0
2019,강원,강원도 속초시내에서 2019년도에 반경100m 이내 다른사고4건 이상 지역,4,0,0,3,4.0
2019,전남,전라남도 장성군내에서 2019년도에 반경100m 이내 다른사고4건 이상 지역,4,0,0,3,4.0
2020,인천,인천광역시 동구내에서 2020년도에 반경50m 이내 다른사고4건 이상 지역,4,0,0,4,4.0
2020,충남,충청남도 예산군내에서 2020년도에 반경100m 이내 다른사고4건 이상 지역,4,0,0,3,4.0
2020,전북,전라북도 임실군내에서 2020년도에 반경100m 이내 다른사고4건 이상 지역,4,0,0,5,4.0
2021,인천,인천광역시 동구내에서 2021년도에 반경50m 이내 다른사고4건 이상 지역,4,0,0,6,4.0
2021,충남,충청남도 보령시내에서 2021년도에 반경100m 이내 다른사고4건 이상 지역,4,0,0,4,4.0
